iter	Logloss
0	0.5962348878
1	0.5384133132
2	0.5023981301
3	0.4783400039
4	0.4663723277
5	0.4139318161
6	0.4072905712
7	0.404844433
8	0.3995713917
9	0.371101703
10	0.3509809067
11	0.3445441808
12	0.3395609635
13	0.3296841397
14	0.3234991865
15	0.3186831171
16	0.3185751174
17	0.3141594976
18	0.3138299036
19	0.3085128103
20	0.3036625597
21	0.3027992407
22	0.3004762242
23	0.2981875374
24	0.2935691279
25	0.292800218
26	0.290523971
27	0.2846158749
28	0.2791641575
29	0.2728330665
30	0.2697199676
31	0.2667515222
32	0.2647538799
33	0.2640436157
34	0.262265356
35	0.2597027041
36	0.2566093754
37	0.2540256179
38	0.2493626726
39	0.2490273874
40	0.2479320802
41	0.2404712808
42	0.2394533393
43	0.2391805765
44	0.2363046318
45	0.235978914
46	0.2275424852
47	0.2228556806
48	0.2188601205
49	0.2101936807
50	0.2090645618
51	0.2055503661
52	0.2022962911
53	0.2020511944
54	0.1979260849
55	0.19478893
56	0.1892794877
57	0.1881161991
58	0.1838932576
59	0.1817638045
60	0.1781147016
61	0.1748545489
62	0.1719495753
63	0.1652691216
64	0.1631762629
65	0.1628744745
66	0.1617146561
67	0.1597492303
68	0.1591440205
69	0.1589577397
70	0.1578657754
71	0.1561223702
72	0.1504264036
73	0.1488800402
74	0.1465347483
75	0.1448310902
76	0.1434758268
77	0.1405538183
78	0.1402188059
79	0.1388134455
80	0.1379385428
81	0.13486359
82	0.1336966844
83	0.1318681032
84	0.1299745028
85	0.1298316466
86	0.1282514632
87	0.1257724335
88	0.1231725174
89	0.1209985099
90	0.1174494127
91	0.1163360348
92	0.115659751
93	0.1135420134
94	0.1104447982
95	0.1097097239
96	0.107385742
97	0.1067048759
98	0.1049593186
99	0.1047046145
100	0.1043286194
101	0.1037569365
102	0.1013725195
103	0.1005059541
104	0.1004244515
105	0.09764380355
106	0.09696514026
107	0.09627881925
108	0.09474567661
109	0.0936504593
110	0.0915531024
111	0.08985998713
112	0.08904167676
113	0.08881609823
114	0.08692951593
115	0.08563791002
116	0.08481006175
117	0.0835029599
118	0.08231765972
119	0.08209547986
120	0.08180885767
121	0.0809970333
122	0.07995226137
123	0.0796125982
124	0.07939101087
125	0.07915270292
126	0.07771945754
127	0.077589067
128	0.0768345908
129	0.07624362457
130	0.07512680467
131	0.07445447115
132	0.07255993354
133	0.07242249865
134	0.07233268837
135	0.07186224351
136	0.0714605488
137	0.06968236003
138	0.06887202975
139	0.06821224203
140	0.06679102345
141	0.066642861
142	0.06583049146
143	0.06578067708
144	0.06569835404
145	0.06481176419
146	0.06445086334
147	0.0636130057
148	0.06358841131
149	0.06269897847
150	0.06171076111
151	0.06096944173
152	0.06000375276
153	0.05959402721
154	0.05954015446
155	0.05938585927
156	0.05905573717
157	0.05902052515
158	0.05838643082
159	0.05836305655
160	0.05650300629
161	0.05648150937
162	0.05641802923
163	0.05605590801
164	0.05550911615
165	0.05405249382
166	0.05292372029
167	0.0527137661
168	0.05227358789
169	0.05193249038
170	0.0511663896
171	0.05113647512
172	0.05089632402
173	0.04949040321
174	0.04868734492
175	0.04750574789
176	0.04705254013
177	0.04655541822
178	0.04631110338
179	0.0457124989
180	0.04520115388
181	0.04458109447
182	0.04369825991
183	0.04351564365
184	0.04294921321
185	0.0428049622
186	0.04277708427
187	0.04240309128
188	0.04234685322
189	0.04214893324
190	0.04199493771
191	0.04192347485
192	0.04184320659
193	0.04121525347
194	0.04061967123
195	0.0405743934
196	0.04051159786
197	0.0402026116
198	0.03949876072
199	0.03936193406
200	0.0388979367
201	0.0387787515
202	0.03862068522
203	0.03850609487
204	0.03848349211
205	0.03831258626
206	0.03823703289
207	0.03813086935
208	0.03766157867
209	0.03728763515
210	0.03666050906
211	0.03662010632
212	0.03610242626
213	0.03597410883
214	0.03590792177
215	0.03577184098
216	0.03540903256
217	0.03535448019
218	0.03520807355
219	0.03471094364
220	0.03454559372
221	0.0344280336
222	0.03428695099
223	0.03421573149
224	0.03390146599
225	0.03378391666
226	0.03358310458
227	0.03344441271
228	0.03343210076
229	0.0333844329
230	0.03319191157
231	0.03270582783
232	0.03264563262
233	0.03232688199
234	0.03200213071
235	0.03198689958
236	0.03179164391
237	0.03130583881
238	0.03109215831
239	0.03093691923
240	0.0303013053
241	0.03021629441
242	0.02999466094
243	0.02992542256
244	0.02988167155
245	0.02987305645
246	0.02961080314
247	0.02950257226
248	0.02920148789
249	0.029164333
250	0.02902091004
251	0.02867737182
252	0.0286142669
253	0.0285703926
254	0.02830862888
255	0.02825017618
256	0.02822480632
257	0.02807005276
258	0.02748410118
259	0.02744226939
260	0.02735917612
261	0.02729687685
262	0.02711681605
263	0.02711024592
264	0.02708543036
265	0.02702646661
266	0.02674245855
267	0.02672108168
268	0.02658225302
269	0.02637854534
270	0.0263122574
271	0.02628940927
272	0.02628337875
273	0.02597921746
274	0.0257579697
275	0.025696559
276	0.02568853588
277	0.02568104459
278	0.02543590506
